DateTime, Final_longCondition, L_first_condt_and_ACT_BT, Final_shortCondition, S_first_condt_and_ACT_BT, Final_Long_tp_and_not_Final_Long_tp2, Final_Short_tp_and_not_Final_Short_tp2, Final_Long_tp2_and_not_Final_Long_tp_and_not_Final_Long_tp3, Final_Short_tp2_and_not_Final_Short_tp_and_not_Final_Short_tp3, Final_Long_tp3_and_not_Final_Long_tp2, Final_Short_tp3_and_not_Final_Short_tp2, longSLhit, shortSLhit
02-08-2023 21:45:02,False,False,False,False,False,False,False,False,False,False,False,False
02-08-2023 22:00:02,False,False,False,False,False,False,False,False,False,False,False,False
02-08-2023 22:15:02,False,False,False,False,False,False,False,False,False,False,False,False
02-08-2023 22:30:04,False,False,False,False,False,False,False,False,False,False,False,False
02-08-2023 22:45:02,False,False,False,False,False,False,False,False,False,False,False,False
02-08-2023 23:00:02,False,False,False,False,False,False,False,False,False,False,False,False
02-08-2023 23:15:03,False,False,False,False,False,False,False,False,False,False,False,False
02-08-2023 23:30:03,False,False,False,False,False,False,False,False,False,False,False,False
02-08-2023 23:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 00:00:05,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 00:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 00:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 00:45:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 01:00:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 01:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 01:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 01:45:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 02:00:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 02:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 02:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 02:45:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 03:00:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 03:15:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 03:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 03:45:01,False,False,False,True,False,False,False,False,False,False,False,False
03-08-2023 04:00:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 04:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 04:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 04:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 05:00:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 05:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 05:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 05:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 06:00:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 06:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 06:30:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 06:45:01,False,False,False,True,False,False,False,False,False,False,False,False
03-08-2023 07:00:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 07:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 07:30:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 07:45:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 08:00:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 08:15:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 08:30:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 08:45:02,False,False,False,True,False,False,False,False,False,False,False,False
03-08-2023 09:00:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 09:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 09:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 09:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 10:00:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 10:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 10:30:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 10:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 11:00:03,False,False,False,True,False,False,False,False,False,False,False,False
03-08-2023 11:15:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 11:30:02,False,False,False,True,False,False,False,False,False,False,False,False
03-08-2023 11:45:01,False,False,False,True,False,False,False,False,False,False,False,False
03-08-2023 12:00:11,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 12:15:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 12:30:02,False,False,False,True,False,False,False,False,False,False,False,False
03-08-2023 12:45:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 13:00:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 13:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 13:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 13:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 14:00:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 14:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 14:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 14:45:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 15:00:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 15:15:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 15:30:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 15:45:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 16:00:05,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 16:15:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 16:30:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 16:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 17:00:01,False,False,False,True,False,False,False,False,False,False,False,False
03-08-2023 17:15:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 17:30:12,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 17:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 18:00:07,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 18:15:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 18:30:04,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 18:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 19:00:03,False,True,False,False,False,False,False,False,False,False,False,False
03-08-2023 19:15:02,True,True,False,False,False,False,False,False,False,False,False,False
03-08-2023 19:30:06,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 19:45:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 20:00:05,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 20:15:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 20:30:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 20:45:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 21:00:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 21:15:01,False,True,False,False,False,False,False,False,False,False,False,False
03-08-2023 21:30:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 21:45:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 22:00:04,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 22:15:01,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 22:30:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 22:45:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 23:00:03,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 23:15:02,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 23:30:05,False,False,False,False,False,False,False,False,False,False,False,False
03-08-2023 23:45:01,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 00:00:04,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 00:15:01,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 00:30:04,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 00:45:01,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 01:00:01,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 01:15:01,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 01:30:02,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 01:45:01,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 02:00:03,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 02:15:01,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 02:30:01,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 02:45:01,False,False,False,False,False,False,False,False,False,False,False,False
04-08-2023 03:00:02,False,False,False,False,False,False,False,False,False,False,False,False
